Fruits,Apple,Mango,Banana,Orange,Grapes,Guava,Papaya,Pear,Lemon,Peach
Animals,Lion,Tiger,Dog,Cat,Cow,Horse,Goat,Sheep,Rabbit,Monkey
Birds,Parrot,Sparrow,Crow,Pigeon,Duck,Hen,Peacock,Eagle,Owl,Swan
Sea Animals,Fish,Shark,Whale,Dolphin,Octopus,Crab,Lobster,Seal,Jellyfish,Starfish
Reptiles,Snake,Lizard,Crocodile,Turtle,Gecko,Python,Cobra,Viper,Iguana,Chameleon
Insects,Ant,Bee,Fly,Butterfly,Mosquito,Spider,Beetle,Moth,Grasshopper,Ladybug
Vegetables,Potato,Tomato,Onion,Carrot,Cabbage,Peas,Beans,Spinach,Radish,Turnip
Flowers,Rose,Lotus,Lily,Jasmine,Sunflower,Daisy,Tulip,Marigold,Hibiscus,Orchid
Countries,India,Japan,China,Nepal,Brazil,Canada,France,Italy,Spain,Egypt
Trees,Mango,Neem,Banyan,Coconut,Oak,Pine,Maple,Palm,Apple,Cedar
Capitals,Delhi,Tokyo,Paris,Rome,Cairo,Beijing,Madrid,Ottawa,Moscow,Berlin
Indian States,UP,Bihar,Goa,Assam,Punjab,Haryana,Kerala,Gujarat,Rajasthan,Sikkim
Rivers,Ganga,Yamuna,Nile,Amazon,Thames,Indus,Brahmaputra,Godavari,Narmada,Kaveri
Mountains,Everest,K2,Kanchenjunga,Nilgiri,Aravali,Himalaya,Alps,Andes,Rockies,Vindhya
Oceans,Pacific,Atlantic,Indian,Arctic,Southern,BayOfBengal,ArabianSea,CoralSea,RedSea,BlackSea
Planets,Earth,Mars,Venus,Jupiter,Saturn,Mercury,Uranus,Neptune,Sun,Moon
Space,Star,Galaxy,Comet,Asteroid,Rocket,Orbit,Satellite,Astronaut,Meteor,Eclipse
Weather,Rain,Sun,Cloud,Storm,Wind,Fog,Snow,Heat,Cold,Hail
Sports,Cricket,Football,Tennis,Hockey,Chess,Boxing,Kabaddi,Golf,Rugby,Badminton
Olympics,Running,Swimming,Judo,Cycling,Shooting,Boxing,Rowing,Gymnastics,Diving,Weightlifting
Musical Instruments,Guitar,Piano,Drum,Flute,Violin,Trumpet,Harp,Bell,Banjo,Tabla
Vehicles,Car,Bus,Train,Bike,Truck,Boat,Taxi,Ship,Van,Scooter
Professions,Doctor,Teacher,Farmer,Police,Nurse,Chef,Pilot,Driver,Artist,Singer
Computer Terms,Mouse,Keyboard,Monitor,Screen,Laptop,Folder,Printer,Speaker,Camera,Tablet
Programming,Python,Java,Code,Loop,Input,Output,Variable,Function,Debug,Class
Internet,Google,Email,Website,Chrome,Search,Download,Upload,Online,Offline,Wifi
Movies,Avatar,Titanic,Frozen,Cars,Moana,Coco,Shrek,Up,Jaws,Rocky
Cartoon Characters,Tom,Jerry,Dora,Ben10,Shinchan,Nobita,ChhotaBheem,Motu,Patlu,Pikachu
Disney Characters,Mickey,Minnie,Donald,Goofy,Pluto,Elsa,Anna,Olaf,Simba,Nemo
Marvel Characters,IronMan,Thor,Hulk,Loki,SpiderMan,Vision,Hawkeye,Groot,Rocket,AntMan
Superheroes,Batman,Superman,Flash,Aquaman,Robin,Hulk,Thor,IronMan,SpiderMan,Wolverine
Scientists,Newton,Einstein,Edison,Galileo,Curie,Darwin,Faraday,Kepler,Tesla,Hawking
Inventors,Edison,Bell,Tesla,Wright,Babbage,Marconi,Ford,Gutenberg,Diesel,Morse
Festivals,Diwali,Holi,Christmas,Easter,Eid,Navratri,Onam,Pongal,Baisakhi,Dussehra
Food,Pizza,Burger,Rice,Pasta,Noodles,Sandwich,Cake,Bread,Cheese,Idli
Drinks,Water,Milk,Juice,Tea,Coffee,Lemonade,Soda,Soup,Shake,Cocoa
Kitchen Items,Spoon,Fork,Knife,Plate,Cup,Bowl,Pan,Pot,Glass,Oven
School Objects,Book,Pen,Pencil,Eraser,Ruler,Bag,Desk,Chair,Board,Notebook
Body Parts,Head,Hand,Leg,Foot,Eye,Ear,Nose,Mouth,Neck,Arm
Colors,Red,Blue,Green,Yellow,Black,White,Pink,Orange,Purple,Brown
Shapes,Circle,Square,Triangle,Oval,Rectangle,Star,Heart,Diamond,Cube,Cone
Clothing,Shirt,Pants,Shoes,Socks,Hat,Belt,Scarf,Coat,Cap,Gloves
Furniture,Chair,Table,Sofa,Bed,Desk,Stool,Shelf,Cupboard,Bench,Drawer
World Wonders,TajMahal,Colosseum,GreatWall,Petra,MachuPicchu,ChichenItza,Pyramids,EiffelTower,StatueOfLiberty,BigBen
Mythology,Zeus,Hades,Hera,Apollo,Athena,Thor,Loki,Odin,Ra,Anubis
Books,HarryPotter,Cinderella,Pinocchio,Aladdin,Heidi,Dracula,Hamlet,Macbeth,Odyssey,JungleBook
Mathematics,Addition,Subtraction,Multiply,Divide,Fraction,Number,Angle,Circle,Square,Triangle
Biology,Cell,Plant,Animal,Leaf,Root,Stem,Bone,Brain,Heart,Lung
Chemistry,Water,Oxygen,Hydrogen,Carbon,Iron,Gold,Silver,Copper,Salt,Sugar
Astronomy,Sun,Moon,Earth,Mars,Jupiter,Saturn,Venus,Mercury,Uranus,Neptune
